slice,denoiser,oil_sat,euler,n_blobs
85,Gaussian,0.009601118553207598,186.0,818
85,NLM,0.009316874130916992,1458.0,1525
85,DnCNN,0.07216022319649262,300.0,907
85,UNet,0.03706365472715389,167.0,279
85,UNet+Leakage,0.013934528009885308,55.0,99
85,HQ_reference,0.04011250132666659,888.0,1388
85,LQ_noisy,0.021291241823778378,3512.0,3796
86,Gaussian,0.009577163791787514,206.0,843
86,NLM,0.008979119741888355,1365.0,1443
86,DnCNN,0.06861551650235748,300.0,885
86,UNet,0.03565758764083547,162.0,262
86,UNet+Leakage,0.013590891739428129,50.0,107
86,HQ_reference,0.039101166040508915,882.0,1351
86,LQ_noisy,0.020590491374253613,3411.0,3664
87,Gaussian,0.009441452004934472,204.0,859
87,NLM,0.00951271302453775,1432.0,1540
87,DnCNN,0.06689775689689748,215.0,886
87,UNet,0.03396946338395077,157.0,245
87,UNet+Leakage,0.014352357800859144,50.0,106
87,HQ_reference,0.03787451205205566,814.0,1246
87,LQ_noisy,0.020990943314530386,3367.0,3662
88,Gaussian,0.009459773063158795,202.0,836
88,NLM,0.009560921596184149,1412.0,1518
88,DnCNN,0.0631447264361205,257.0,863
88,UNet,0.0306533486163419,156.0,234
88,UNet+Leakage,0.012540943831129444,58.0,87
88,HQ_reference,0.03607145606233754,781.0,1209
88,LQ_noisy,0.020870109132025996,3411.0,3666
89,Gaussian,0.009478267773278858,197.0,825
89,NLM,0.009609154704653095,1428.0,1520
89,DnCNN,0.06002137755587119,250.0,827
89,UNet,0.029205328817117095,184.0,273
89,UNet+Leakage,0.012873142247312284,37.0,74
89,HQ_reference,0.034957200104332155,819.0,1173
89,LQ_noisy,0.020932064759796965,3367.0,3619
90,Gaussian,0.009479975689237601,175.0,812
90,NLM,0.00933791760481957,1429.0,1525
90,DnCNN,0.05876421505177515,193.0,844
90,UNet,0.02789521455101334,160.0,235
90,UNet+Leakage,0.013067675463325028,46.0,97
90,HQ_reference,0.033972228815570854,777.0,1179
90,LQ_noisy,0.020543226811783853,3366.0,3607
91,Gaussian,0.009386215427847096,200.0,847
91,NLM,0.008780021493395195,1397.0,1473
91,DnCNN,0.05578851888451942,224.0,851
91,UNet,0.025926313742501983,164.0,241
91,UNet+Leakage,0.009187322164909237,69.0,113
91,HQ_reference,0.03242774188563515,777.0,1148
91,LQ_noisy,0.019694095685424382,3295.0,3553
92,Gaussian,0.009422494257928946,204.0,850
92,NLM,0.00851437028375144,1332.0,1407
92,DnCNN,0.05676135574385331,246.0,844
92,UNet,0.026153565457193877,157.0,232
92,UNet+Leakage,0.009582127962474561,52.0,114
92,HQ_reference,0.031253161317964614,753.0,1097
92,LQ_noisy,0.019738307852570858,3309.0,3554
93,Gaussian,0.009261833122050311,208.0,857
93,NLM,0.008342165856511093,1333.0,1420
93,DnCNN,0.056951545012940245,200.0,827
93,UNet,0.023604030468422,153.0,211
93,UNet+Leakage,0.012217320866225342,43.0,98
93,HQ_reference,0.030503165254262523,738.0,1079
93,LQ_noisy,0.019224339182167333,3193.0,3428
94,Gaussian,0.009204271906350429,193.0,845
94,NLM,0.008091467705721606,1275.0,1352
94,DnCNN,0.05403068566918899,228.0,736
94,UNet,0.024171746779598026,136.0,181
94,UNet+Leakage,0.010788820460780769,65.0,106
94,HQ_reference,0.02923418655615021,754.0,1093
94,LQ_noisy,0.018417244498040396,3095.0,3322
95,Gaussian,0.009076799931565023,201.0,863
95,NLM,0.008046162611087922,1287.0,1363
95,DnCNN,0.05457131847851595,224.0,709
95,UNet,0.023580605304511594,144.0,201
95,UNet+Leakage,0.009561096103769682,63.0,97
95,HQ_reference,0.028614390433825306,697.0,1002
95,LQ_noisy,0.018559323822069228,3134.0,3346
96,Gaussian,0.009055718331719151,203.0,865
96,NLM,0.008381479123964879,1343.0,1415
96,DnCNN,0.05441417407316118,229.0,733
96,UNet,0.023097210512261206,149.0,210
96,UNet+Leakage,0.011452618283503918,63.0,117
96,HQ_reference,0.028075045896207407,740.0,1066
96,LQ_noisy,0.018630208003665157,3132.0,3378
97,Gaussian,0.009131876021569436,207.0,879
97,NLM,0.008112669534382121,1287.0,1381
97,DnCNN,0.053684824868829466,135.0,690
97,UNet,0.02244019900139013,164.0,216
97,UNet+Leakage,0.011191423451878398,82.0,119
97,HQ_reference,0.027741280458671764,837.0,1118
97,LQ_noisy,0.018313770302988273,3046.0,3302
98,Gaussian,0.009047685980211816,206.0,902
98,NLM,0.007795286868385205,1235.0,1319
98,DnCNN,0.05335472900428881,147.0,715
98,UNet,0.023316994738452494,128.0,203
98,UNet+Leakage,0.009280813060081853,68.0,106
98,HQ_reference,0.027122401902781264,745.0,1078
98,LQ_noisy,0.018287130563780327,3093.0,3341
99,Gaussian,0.00905426754550816,194.0,898
99,NLM,0.008034073979288724,1261.0,1321
99,DnCNN,0.052139154113355096,154.0,691
99,UNet,0.02373577607532121,123.0,194
99,UNet+Leakage,0.006077941742119434,68.0,115
99,HQ_reference,0.02620591472460162,729.0,1043
99,LQ_noisy,0.018328514271758894,3039.0,3275
